FORMAT_RULE:short_key;user_id;shop_id;num_iid;create_source;lib_id;long_url
h6FCO;2;14073894092;14073894092;cpc;111112;http://item.taobao.com/item.htm?id=14073894092&from=emop.cn&lib=350992 
h6FCO;2;14073894092;14073894092;cpc;111113;http://item.taobao.com/item.htm?id=14073894092&from=emop.cn&lib=350992 
spZTo;9;73013320;17513191786;cpc;111114;http://item.taobao.com/item.htm?id=17513191786 
ZjdSw;9;102712776;18053222540;cpc;111115;http://s.click.taobao.com/t?e=m%3D2%26s%3DseL6CCFT3BgcQipKwQzePOeEDrYVVa64K7Vc7tFgwiFRAdhuF14FMa4pQ3y0gO3exq3IhSJN6GQDnehMnqo%2BX68PyDisZiOhI4de07wOScOjfVkQdzLupzgPYOWrYXcgomfkDJRs%2BhU%3D 
k62Tw;9;65987986;36165614603;cpc;111116;http://item.taobao.com/item.htm?id=36165614603 
DSqqm;9;62206750;35072238754;cpc;111117;http://item.taobao.com/item.htm?id=35072238754 
h6FCO;2;14073894092;14073894092;cpc;111118;http://item.taobao.com/item.htm?id=14073894092&from=emop.cn&lib=350992 
h6FCO;2;14073894092;14073894092;cpc;111119;http://item.taobao.com/item.htm?id=14073894092&from=emop.cn&lib=350992 
spZTo;9;73013320;17513191786;cpc;111120;http://item.taobao.com/item.htm?id=17513191786 
ZjdSw;9;102712776;18053222540;cpc;111121;http://s.click.taobao.com/t?e=m%3D2%26s%3DseL6CCFT3BgcQipKwQzePOeEDrYVVa64K7Vc7tFgwiFRAdhuF14FMa4pQ3y0gO3exq3IhSJN6GQDnehMnqo%2BX68PyDisZiOhI4de07wOScOjfVkQdzLupzgPYOWrYXcgomfkDJRs%2BhU%3D 
k62Tw;9;65987986;36165614603;cpc;111122;http://item.taobao.com/item.htm?id=36165614603 
DSqqm;9;62206750;35072238754;cpc;111123;http://item.taobao.com/item.htm?id=35072238754 
h6FCO;2;14073894092;14073894092;cpc;111124;http://item.taobao.com/item.htm?id=14073894092&from=emop.cn&lib=350992 
h6FCO;2;14073894092;14073894092;cpc;111125;http://item.taobao.com/item.htm?id=14073894092&from=emop.cn&lib=350992 
spZTo;9;73013320;17513191786;cpc;111126;http://item.taobao.com/item.htm?id=17513191786 
ZjdSw;9;102712776;18053222540;cpc;111127;http://s.click.taobao.com/t?e=m%3D2%26s%3DseL6CCFT3BgcQipKwQzePOeEDrYVVa64K7Vc7tFgwiFRAdhuF14FMa4pQ3y0gO3exq3IhSJN6GQDnehMnqo%2BX68PyDisZiOhI4de07wOScOjfVkQdzLupzgPYOWrYXcgomfkDJRs%2BhU%3D 
k62Tw;9;65987986;36165614603;cpc;111128;http://item.taobao.com/item.htm?id=36165614603 
DSqqm;9;62206750;35072238754;cpc;111129;http://item.taobao.com/item.htm?id=35072238754 
74IP01;74;11111111;33333333331;cpc;111111;http://item.taobao.com/item.htm?id=36261065524 
74IP02;74;11111112;33333333332;cpc;111112;http://item.taobao.com/item.htm?id=11111111112 
74IP03;74;11111113;33333333333;cpc;111113;http://item.taobao.com/item.htm?id=11111111113
